"Statistic Label","Year","Age Group","Sex","UNIT","VALUE"
"Median Annual Earnings","2017","50 - 59 years","Female","Euro","31917"
"Median Annual Earnings","2017","60 years and over","Both sexes","Euro","28700"
"Median Annual Earnings","2017","60 years and over","Male","Euro","34389"
"Median Annual Earnings","2017","60 years and over","Female","Euro","22982"
"Median Annual Earnings","2018","15 - 24 years","Both sexes","Euro","18590"
"Median Annual Earnings","2018","15 - 24 years","Male","Euro","20060"
"Median Annual Earnings","2018","15 - 24 years","Female","Euro","17128"
"Median Annual Earnings","2018","15 years and over","Both sexes","Euro","35786"
"Median Annual Earnings","2018","15 years and over","Male","Euro","39279"
"Median Annual Earnings","2018","15 years and over","Female","Euro","32014"
"Median Annual Earnings","2018","25 - 29 years","Both sexes","Euro","31264"
"Median Annual Earnings","2018","25 - 29 years","Male","Euro","32116"
