"Statistic Label","Year","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Mean Weekly Earnings","2017","Male","Transportation and storage (H)","Euro","730.25"
"Mean Weekly Earnings","2017","Male","Accommodation and food service activities (I)","Euro","383.89"
"Mean Weekly Earnings","2017","Male","Information and communication (J)","Euro","1282.26"
"Mean Weekly Earnings","2017","Male","Professional, scientific and technical activities (M)","Euro","1036.05"
"Mean Weekly Earnings","2017","Male","Administrative and support service activities (N)","Euro","630.82"
"Mean Weekly Earnings","2017","Male","Public administration and defence; compulsory social security (O)","Euro","977.29"
"Mean Weekly Earnings","2017","Male","Education (P)","Euro","831.11"
"Mean Weekly Earnings","2017","Male","Human health and social work activities (Q)","Euro","768.7"
"Mean Weekly Earnings","2017","Male","Industry (B to E)","Euro","905.04"
"Mean Weekly Earnings","2017","Male","Financial, insurance and real estate activities (K,L)","Euro","1264.94"
"Mean Weekly Earnings","2017","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","535.61"
"Mean Weekly Earnings","2017","Female","All NACE economic sectors","Euro","603.6"
"Mean Weekly Earnings","2017","Female","Construction (F)","Euro","485.47"
"Mean Weekly Earnings","2017","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","442.28"
"Mean Weekly Earnings","2017","Female","Transportation and storage (H)","Euro","608.59"
"Mean Weekly Earnings","2017","Female","Accommodation and food service activities (I)","Euro","297.5"
"Mean Weekly Earnings","2017","Female","Information and communication (J)","Euro","1000.02"
"Mean Weekly Earnings","2017","Female","Professional, scientific and technical activities (M)","Euro","726.5"
"Mean Weekly Earnings","2017","Female","Administrative and support service activities (N)","Euro","482.02"
"Mean Weekly Earnings","2017","Female","Public administration and defence; compulsory social security (O)","Euro","806.07"
"Mean Weekly Earnings","2017","Female","Education (P)","Euro","726.25"
"Mean Weekly Earnings","2017","Female","Human health and social work activities (Q)","Euro","632.63"
"Mean Weekly Earnings","2017","Female","Industry (B to E)","Euro","748.22"
"Mean Weekly Earnings","2017","Female","Financial, insurance and real estate activities (K,L)","Euro","842.66"
"Mean Weekly Earnings","2017","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","376.35"
"Mean Weekly Earnings","2018","Both sexes","All NACE economic sectors","Euro","722.47"
"Mean Weekly Earnings","2018","Both sexes","Construction (F)","Euro","685.49"
"Mean Weekly Earnings","2018","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","552.4"
"Mean Weekly Earnings","2018","Both sexes","Transportation and storage (H)","Euro","728.02"
"Mean Weekly Earnings","2018","Both sexes","Accommodation and food service activities (I)","Euro","344.25"
"Mean Weekly Earnings","2018","Both sexes","Information and communication (J)","Euro","1228.12"
"Mean Weekly Earnings","2018","Both sexes","Professional, scientific and technical activities (M)","Euro","903.05"
"Mean Weekly Earnings","2018","Both sexes","Administrative and support service activities (N)","Euro","591.9"
"Mean Weekly Earnings","2018","Both sexes","Public administration and defence; compulsory social security (O)","Euro","914.13"
"Mean Weekly Earnings","2018","Both sexes","Education (P)","Euro","778.86"
"Mean Weekly Earnings","2018","Both sexes","Human health and social work activities (Q)","Euro","681.9"
"Mean Weekly Earnings","2018","Both sexes","Industry (B to E)","Euro","888.51"
"Mean Weekly Earnings","2018","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","1079.01"
"Mean Weekly Earnings","2018","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","448.79"
"Mean Weekly Earnings","2018","Male","All NACE economic sectors","Euro","822.35"
"Mean Weekly Earnings","2018","Male","Construction (F)","Euro","706.93"
"Mean Weekly Earnings","2018","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","657.76"
"Mean Weekly Earnings","2018","Male","Transportation and storage (H)","Euro","756.55"
"Mean Weekly Earnings","2018","Male","Accommodation and food service activities (I)","Euro","391.83"
"Mean Weekly Earnings","2018","Male","Information and communication (J)","Euro","1330.69"
"Mean Weekly Earnings","2018","Male","Professional, scientific and technical activities (M)","Euro","1055.33"
"Mean Weekly Earnings","2018","Male","Administrative and support service activities (N)","Euro","662.73"
"Mean Weekly Earnings","2018","Male","Public administration and defence; compulsory social security (O)","Euro","989.98"
"Mean Weekly Earnings","2018","Male","Education (P)","Euro","864.59"
"Mean Weekly Earnings","2018","Male","Human health and social work activities (Q)","Euro","792.03"
